Region,Anchor,Neighbor,Cooc_Windows,Anchor_WindowCount,Neighbor_WindowCount,NPMI
CN,人工智能,知识,114,3546,161,0.0533
CN,人工智能,带来,114,3546,184,0.0199
CN,人工智能,产业,113,3546,147,0.0737
CN,人工智能,平台,113,3546,174,0.0316
CN,人工智能,要素,113,3546,198,-0.0007
CN,人工智能,过程,112,3546,282,-0.091
CN,人工智能,服务提供者,112,3546,322,-0.124
CN,人工智能,经济,110,3546,137,0.084
CN,人工智能,框架,110,3546,178,0.0191
CN,人工智能,健康,109,3546,118,0.1185
CN,人工智能,合成,108,3546,235,-0.0541
CN,人工智能,训练,108,3546,424,-0.1999
CN,人工智能,研究,106,3546,166,0.027
CN,人工智能,优化,106,3546,221,-0.0434
CN,人工智能,终端,105,3546,105,0.1369
CN,人工智能,防护,105,3546,180,0.0047
CN,人工智能,挑战,102,3546,135,0.0677
CN,人工智能,评估,101,3546,188,-0.0153
CN,人工智能,打造,99,3546,120,0.0884
CN,人工智能,构建,99,3546,180,-0.0096
CN,人工智能,恶意,99,3546,206,-0.0422
CN,人工智能,重点,97,3546,120,0.0831
CN,人工智能,认知,97,3546,135,0.0548
CN,人工智能,软件,97,3546,135,0.0548
CN,人工智能,开放,97,3546,153,0.0247
CN,人工智能,深度,97,3546,165,0.0065
CN,人工智能,驱动,94,3546,97,0.1258
CN,人工智能,基础,93,3546,197,-0.0458
CN,人工智能,设计,92,3546,232,-0.0871
CN,人工智能,分析,91,3546,135,0.0388
CN,人工智能,识别,91,3546,211,-0.067
CN,人工智能,需求,90,3546,150,0.0112
CN,人工智能,可控,88,3546,135,0.0306
CN,人工智能,增强,88,3546,135,0.0306
CN,人工智能,可信,87,3546,88,0.1282
CN,人工智能,评价,86,3546,102,0.0906
CN,人工智能,关键,86,3546,120,0.0526
CN,人工智能,感知,86,3546,166,-0.0232
CN,人工智能,可能,86,3546,225,-0.0943
CN,人工智能,教育,84,3546,117,0.0528
CN,人工智能,部署,83,3546,186,-0.0577
CN,人工智能,原则,82,3546,120,0.041
CN,人工智能,有效,82,3546,180,-0.0527
CN,人工智能,学习,81,3546,121,0.0362
CN,人工智能,采取,81,3546,270,-0.1489
CN,人工智能,监测,80,3546,98,0.0817
CN,人工智能,积极,80,3546,105,0.0658
CN,人工智能,功能,80,3546,165,-0.0381
CN,人工智能,指引,79,3546,97,0.0809
CN,人工智能,活动,79,3546,159,-0.0324
CN,人工智能,生成合成,79,3546,418,-0.2539
CN,人工智能,供应链,78,3546,128,0.0144
CN,人工智能,持续,78,3546,165,-0.0437
CN,人工智能,要求,78,3546,168,-0.0478
CN,人工智能,交互,77,3546,229,-0.1212
CN,人工智能,威胁,75,3546,104,0.0524
CN,人工智能,基本准则,74,3546,75,0.123
CN,人工智能,控制,74,3546,125,0.0077
CN,人工智能,避免,73,3546,93,0.0712
CN,人工智能,判断,73,3546,165,-0.0579
CN,人工智能,泄露,72,3546,107,0.0364
CN,人工智能,明确,72,3546,208,-0.1128
CN,人工智能,测评,71,3546,105,0.0374
CN,人工智能,基于,71,3546,135,-0.0189
CN,人工智能,加剧,70,3546,112,0.0197
CN,人工智能,针对,70,3546,120,0.0043
CN,人工智能,世界,69,3546,75,0.1056
CN,人工智能,发挥,68,3546,90,0.0616
CN,人工智能,加速,68,3546,101,0.036
CN,人工智能,共同,68,3546,105,0.0274
CN,人工智能,及应,67,3546,75,0.0984
CN,人工智能,保障,67,3546,95,0.0462
CN,人工智能,保护,66,3546,163,-0.0761
CN,人工智能,测试,66,3546,170,-0.0854
CN,人工智能,结合,65,3546,135,-0.0379
CN,人工智能,缺陷,65,3546,207,-0.1317
CN,人工智能,开发,64,3546,130,-0.0329
CN,人工智能,准则,63,3546,66,0.1115
CN,人工智能,不同,63,3546,70,0.0987
CN,人工智能,辅助,63,3546,75,0.0837
CN,人工智能,科技,63,3546,111,-0.0018
CN,人工智能,处理,63,3546,143,-0.057
CN,人工智能,数据安全,63,3546,162,-0.0842
CN,人工智能,岗位,62,3546,63,0.1178
CN,人工智能,共治,62,3546,81,0.0632
CN,人工智能,制造,62,3546,90,0.0403
CN,人工智能,机构,62,3546,120,-0.0222
CN,人工智能,问题,62,3546,217,-0.1508
CN,人工智能,透明,61,3546,90,0.0366
CN,人工智能,逻辑,61,3546,105,0.0033
CN,人工智能,普惠,60,3546,75,0.0723
CN,人工智能,拓展,60,3546,75,0.0723
CN,人工智能,维护,60,3546,75,0.0723
CN,人工智能,依赖,60,3546,83,0.0504
CN,人工智能,存在,60,3546,144,-0.0684
CN,人工智能,最终,59,3546,68,0.0894
CN,人工智能,制度,59,3546,69,0.0863
CN,人工智能,潜在,59,3546,135,-0.0579
CN,人工智能,业态,58,3546,60,0.1122
CN,人工智能,反映,58,3546,60,0.1122
CN,人工智能,特点,58,3546,90,0.0254
CN,人工智能,安全意识,57,3546,60,0.1081
CN,人工智能,关系,57,3546,75,0.0605
CN,人工智能,说明,57,3546,85,0.0338
CN,人工智能,权限,57,3546,98,0.0035
CN,人工智能,复杂,57,3546,105,-0.0112
CN,人工智能,导致,57,3546,150,-0.0873
CN,人工智能,赋能,56,3546,60,0.104
CN,人工智能,新型,56,3546,60,0.104
CN,人工智能,演进,56,3546,60,0.104
CN,人工智能,有序,56,3546,60,0.104
CN,人工智能,消费,56,3546,71,0.0682
CN,人工智能,精准,56,3546,75,0.0565
CN,人工智能,参与,56,3546,75,0.0565
CN,人工智能,可靠,56,3546,90,0.0178
CN,人工智能,社区,56,3546,90,0.0178
CN,人工智能,实践,55,3546,75,0.0525
CN,人工智能,传统,55,3546,98,-0.0041
CN,人工智能,质量,55,3546,173,-0.1244
CN,人工智能,设置,54,3546,84,0.0245
CN,人工智能,应急,54,3546,98,-0.008
CN,人工智能,降低,54,3546,105,-0.0225
CN,人工智能,涉及,54,3546,110,-0.0323
CN,人工智能,准确,54,3546,120,-0.0507
CN,人工智能,发现,53,3546,86,0.0156
CN,人工智能,处置,53,3546,90,0.006
CN,人工智能,收集,53,3546,140,-0.0868
CN,人工智能,冲击,52,3546,60,0.0868
CN,人工智能,认识,52,3546,60,0.0868
CN,人工智能,调整,52,3546,81,0.0241
CN,人工智能,架构,51,3546,60,0.0824
CN,人工智能,运营,51,3546,60,0.0824
CN,人工智能,培养,51,3546,61,0.079
CN,人工智能,传播,51,3546,163,-0.1258
CN,人工智能,错误,51,3546,165,-0.1283
CN,人工智能,多元,50,3546,52,0.1077
CN,人工智能,机器,50,3546,60,0.078
CN,人工智能,周期,50,3546,75,0.0317
CN,人工智能,预期,50,3546,97,-0.0217
CN,人工智能,农业,49,3546,50,0.1112
CN,人工智能,全过程,49,3546,60,0.0735
CN,人工智能,社会秩序,49,3546,75,0.0274
CN,人工智能,环节,49,3546,105,-0.0421
CN,人工智能,公众,49,3546,120,-0.0697
CN,人工智能,进程,48,3546,56,0.0831
CN,人工智能,范式,47,3546,60,0.0643
CN,人工智能,链条,47,3546,60,0.0643
CN,人工智能,坚持,47,3546,75,0.0186
CN,人工智能,跟踪,47,3546,90,-0.0187
CN,人工智能,敏感,46,3546,85,-0.0114
CN,人工智能,结果,46,3546,172,-0.1551
CN,人工智能,向善,45,3546,45,0.1133
CN,人工智能,造福,45,3546,45,0.1133
CN,人工智能,脑机接,45,3546,45,0.1133
CN,人工智能,鸿沟,45,3546,45,0.1133
CN,人工智能,内部,45,3546,45,0.1133
CN,人工智能,深化,45,3546,60,0.0549
CN,人工智能,覆盖,45,3546,60,0.0549
CN,人工智能,各国,45,3546,60,0.0549
CN,人工智能,标准规范,45,3546,60,0.0549
CN,人工智能,性能,45,3546,75,0.0096
CN,人工智能,遵循,45,3546,90,-0.0274
CN,人工智能,及时,45,3546,90,-0.0274
CN,人工智能,更好,44,3546,45,0.1083
CN,人工智能,培训,44,3546,45,0.1083
CN,人工智能,成果,44,3546,60,0.0501
CN,人工智能,透明度,44,3546,90,-0.0318
CN,人工智能,特定,44,3546,103,-0.0591
CN,人工智能,驾驶,43,3546,45,0.1032
CN,人工智能,联合国,43,3546,49,0.086
CN,人工智能,升级,43,3546,60,0.0453
CN,人工智能,现实,43,3546,60,0.0453
CN,人工智能,符合,43,3546,113,-0.0821
CN,人工智能,数字,42,3546,45,0.098
CN,人工智能,政策,42,3546,45,0.098
CN,人工智能,不断,42,3546,60,0.0404
CN,人工智能,科研,42,3546,73,0.0011
CN,人工智能,安全性,42,3546,86,-0.0317
CN,人工智能,隐私,42,3546,90,-0.0408
CN,人工智能,稳定,42,3546,135,-0.122
CN,人工智能,就业,41,3546,41,0.1112
CN,人工智能,如下,41,3546,45,0.0927
CN,人工智能,条件,41,3546,45,0.0927
CN,人工智能,业务流程,41,3546,45,0.0927
CN,人工智能,形态,41,3546,45,0.0927
CN,人工智能,系统安全,41,3546,45,0.0927
CN,人工智能,情况,41,3546,45,0.0927
CN,人工智能,综合治理,41,3546,60,0.0354
CN,人工智能,是否,41,3546,75,-0.0091
CN,人工智能,推理,41,3546,90,-0.0454
CN,人工智能,化导,41,3546,90,-0.0454
CN,人工智能,互联网,41,3546,108,-0.0818
CN,人工智能,定期,41,3546,120,-0.1028
CN,人工智能,局限性,40,3546,45,0.0873
CN,人工智能,指导,40,3546,60,0.0303
CN,人工智能,落实,40,3546,60,0.0303
CN,人工智能,策略,40,3546,75,-0.014
CN,人工智能,科学,40,3546,78,-0.0217
CN,人工智能,其他,40,3546,90,-0.0501
CN,人工智能,合法权益,40,3546,90,-0.0501
CN,人工智能,协议,40,3546,105,-0.0807
CN,人工智能,违规,39,3546,45,0.0819
CN,人工智能,可追溯,39,3546,45,0.0819
CN,人工智能,数据处理,39,3546,60,0.0251
CN,人工智能,解释性,39,3546,60,0.0251
CN,人工智能,政务,38,3546,40,0.0995
CN,人工智能,互联,38,3546,45,0.0764
CN,人工智能,合同,38,3546,45,0.0764
CN,人工智能,公共安全,38,3546,54,0.0406
CN,人工智能,引导,38,3546,60,0.0199
CN,人工智能,应用,38,3546,60,0.0199
CN,人工智能,具体,38,3546,63,0.0103
CN,人工智能,动态,38,3546,75,-0.0239
CN,人工智能,价值观,38,3546,119,-0.1145
CN,人工智能,时代,37,3546,45,0.0708
CN,人工智能,效率,37,3546,45,0.0708
CN,人工智能,技术标准,37,3546,45,0.0708
CN,人工智能,我国,37,3546,52,0.0426
CN,人工智能,快速,37,3546,65,-0.001
CN,人工智能,突破,37,3546,90,-0.0646
CN,人工智能,创造,36,3546,36,0.1084
CN,人工智能,为本,36,3546,45,0.0651
CN,人工智能,国际交流,36,3546,45,0.0651
CN,人工智能,服务业,36,3546,47,0.0566
CN,人工智能,法律,36,3546,75,-0.0341
CN,人工智能,落地,36,3546,81,-0.0491
CN,人工智能,下降,36,3546,90,-0.0695
CN,人工智能,作为,35,3546,45,0.0593
CN,人工智能,涵盖,35,3546,45,0.0593
CN,人工智能,做好,35,3546,45,0.0593
CN,人工智能,---,35,3546,50,0.0389
CN,人工智能,供给,35,3546,60,0.0037
CN,人工智能,关注,35,3546,75,-0.0394
CN,人工智能,必要,35,3546,89,-0.0725
CN,人工智能,造成,35,3546,90,-0.0746
CN,人工智能,跨学科,34,3546,45,0.0534
CN,人工智能,具等,34,3546,45,0.0534
CN,人工智能,物理,34,3546,45,0.0534
CN,人工智能,类型,34,3546,45,0.0534
CN,人工智能,披露,34,3546,45,0.0534
CN,人工智能,丰富,34,3546,60,-0.0019
CN,人工智能,充分发挥,34,3546,60,-0.0019
CN,人工智能,协调,34,3546,60,-0.0019
CN,人工智能,访问,34,3546,82,-0.0619
CN,人工智能,主渠道,33,3546,45,0.0474
CN,人工智能,险进,33,3546,45,0.0474
CN,人工智能,基本,33,3546,60,-0.0076
CN,人工智能,合规,33,3546,60,-0.0076
CN,人工智能,价值,33,3546,60,-0.0076
CN,人工智能,针对性,33,3546,60,-0.0076
CN,人工智能,创作,32,3546,36,0.0836
CN,人工智能,pdf,32,3546,37,0.0784
CN,人工智能,多边,32,3546,45,0.0413
CN,人工智能,告知,32,3546,54,0.0066
CN,人工智能,响应,32,3546,60,-0.0134
CN,人工智能,监督,32,3546,60,-0.0134
CN,人工智能,参数,32,3546,60,-0.0134
CN,人工智能,空间,32,3546,75,-0.0557
CN,人工智能,理解,32,3546,88,-0.0861
CN,人工智能,激励,31,3546,45,0.035
CN,人工智能,审慎,31,3546,45,0.035
CN,人工智能,主管,31,3546,45,0.035
CN,人工智能,安全事件,31,3546,49,0.019
CN,人工智能,特别,31,3546,58,-0.0129
CN,人工智能,梳理,31,3546,60,-0.0193
CN,人工智能,鲁棒性,31,3546,75,-0.0614
CN,人工智能,检测,31,3546,95,-0.106
CN,人工智能,漏洞,31,3546,101,-0.1176
CN,人工智能,歧视,31,3546,112,-0.1371
CN,人工智能,现代化,30,3546,30,0.1047
CN,人工智能,体等应,30,3546,30,0.1047
CN,人工智能,普及率,30,3546,30,0.1047
CN,人工智能,公共,30,3546,30,0.1047
CN,人工智能,成为,30,3546,30,0.1047
CN,人工智能,联动,30,3546,30,0.1047
CN,人工智能,技能,30,3546,30,0.1047
CN,人工智能,装备,30,3546,30,0.1047
CN,人工智能,供需,30,3546,30,0.1047
CN,人工智能,匹配,30,3546,30,0.1047
CN,人工智能,陪伴,30,3546,30,0.1047
CN,人工智能,医疗,30,3546,30,0.1047
CN,人工智能,繁荣,30,3546,30,0.1047
CN,人工智能,可信赖,30,3546,30,0.1047
CN,人工智能,倡议,30,3546,30,0.1047
CN,人工智能,增进,30,3546,30,0.1047
CN,人工智能,化解,30,3546,30,0.1047
CN,人工智能,国家主权,30,3546,30,0.1047
CN,人工智能,特性,30,3546,30,0.1047
CN,人工智能,衍生,30,3546,30,0.1047
CN,人工智能,透明性,30,3546,30,0.1047
CN,人工智能,国家标准,30,3546,45,0.0287
CN,人工智能,预警,30,3546,49,0.0127
CN,人工智能,具备,30,3546,51,0.0052
CN,人工智能,法律法规,30,3546,60,-0.0253
CN,人工智能,对象,30,3546,60,-0.0253
CN,人工智能,安全漏洞,30,3546,60,-0.0253
CN,人工智能,审计,30,3546,90,-0.1014
CN,人工智能,适应,29,3546,30,0.0977
CN,人工智能,中试,29,3546,30,0.0977
CN,人工智能,泛应,29,3546,30,0.0977
CN,人工智能,迅速,29,3546,30,0.0977
CN,人工智能,综合,29,3546,30,0.0977
CN,人工智能,定级,29,3546,30,0.0977
CN,人工智能,标准,29,3546,33,0.08
CN,人工智能,工业,29,3546,34,0.0744
CN,人工智能,迭代,29,3546,45,0.0222
CN,人工智能,重构,29,3546,45,0.0222
CN,人工智能,社会公众,29,3546,45,0.0222
CN,人工智能,灾难性,29,3546,45,0.0222
CN,人工智能,禁忌,29,3546,45,0.0222
CN,人工智能,解释,29,3546,45,0.0222
CN,人工智能,了解,29,3546,45,0.0222
CN,人工智能,变化,29,3546,52,-0.0048
CN,人工智能,布局,29,3546,60,-0.0315
CN,人工智能,有限,29,3546,60,-0.0315
CN,人工智能,异常,29,3546,60,-0.0315
CN,人工智能,农机,28,3546,28,0.1034
CN,人工智能,深层次,28,3546,30,0.0906
CN,人工智能,共建,28,3546,30,0.0906
CN,人工智能,队伍,28,3546,30,0.0906
CN,人工智能,生成式,28,3546,30,0.0906
CN,人工智能,程度,28,3546,30,0.0906
CN,人工智能,包容,28,3546,39,0.042
CN,人工智能,新形态,28,3546,45,0.0155
CN,人工智能,形式,28,3546,45,0.0155
CN,人工智能,备案,28,3546,45,0.0155
CN,人工智能,公平,28,3546,45,0.0155
CN,人工智能,意识,28,3546,75,-0.0791
CN,人工智能,服务体系,27,3546,30,0.0833
CN,人工智能,全民,27,3546,30,0.0833
CN,人工智能,城市,27,3546,30,0.0833
CN,人工智能,暂行办法,27,3546,30,0.0833
CN,人工智能,组件,27,3546,30,0.0833
CN,人工智能,帮助,27,3546,45,0.0087
CN,人工智能,交通,27,3546,45,0.0087
CN,人工智能,同步,27,3546,45,0.0087
CN,人工智能,释放,27,3546,45,0.0087
CN,人工智能,改进,27,3546,45,0.0087
CN,人工智能,极端,27,3546,45,0.0087
CN,人工智能,扩散,27,3546,90,-0.1188
CN,人工智能,经济社会,26,3546,30,0.0758
CN,人工智能,转型,26,3546,30,0.0758
CN,人工智能,投资,26,3546,30,0.0758
CN,人工智能,格局,26,3546,30,0.0758
CN,人工智能,脱离,26,3546,30,0.0758
CN,人工智能,超出,26,3546,30,0.0758
CN,人工智能,防范措施,26,3546,30,0.0758
CN,人工智能,注意事项,26,3546,30,0.0758
CN,人工智能,任务,26,3546,45,0.0018
CN,人工智能,构造,26,3546,45,0.0018
CN,人工智能,责任,26,3546,87,-0.1187
CN,人工智能,违法,26,3546,109,-0.1599
CN,人工智能,显著,26,3546,166,-0.2367
CN,人工智能,前沿,25,3546,25,0.1013
CN,人工智能,改造,25,3546,30,0.0682
CN,人工智能,开辟,25,3546,30,0.0682
CN,人工智能,统筹,25,3546,30,0.0682
CN,人工智能,汇聚,25,3546,30,0.0682
CN,人工智能,改变,25,3546,30,0.0682
CN,人工智能,对话,25,3546,30,0.0682
CN,人工智能,管理机制,25,3546,30,0.0682
CN,人工智能,管理制度,25,3546,45,-0.0054
CN,人工智能,国内,25,3546,45,-0.0054
CN,人工智能,隐患,25,3546,45,-0.0054
CN,人工智能,路径,25,3546,45,-0.0054
CN,人工智能,选择,25,3546,45,-0.0054
CN,人工智能,能源,25,3546,60,-0.0575
CN,人工智能,验证,25,3546,73,-0.0931
CN,人工智能,呈现,25,3546,75,-0.098
CN,人工智能,显式,25,3546,137,-0.2073
CN,人工智能,财政,24,3546,28,0.0728
CN,人工智能,转化,24,3546,30,0.0603
CN,人工智能,各类,24,3546,30,0.0603
CN,人工智能,沉迷,24,3546,30,0.0603
CN,人工智能,获得,24,3546,30,0.0603
CN,人工智能,全国,24,3546,45,-0.0127
CN,人工智能,业应,24,3546,45,-0.0127
CN,人工智能,清晰,24,3546,45,-0.0127
CN,人工智能,违法犯罪,24,3546,47,-0.0205
CN,人工智能,跃迁,23,3546,30,0.0523
CN,人工智能,效能,23,3546,30,0.0523
CN,人工智能,未来,23,3546,30,0.0523
CN,人工智能,托育,23,3546,30,0.0523
CN,人工智能,导向,23,3546,30,0.0523
CN,人工智能,敏捷,23,3546,30,0.0523
CN,人工智能,加固,23,3546,30,0.0523
CN,人工智能,涉他,23,3546,30,0.0523
CN,人工智能,决策依据,23,3546,30,0.0523
CN,人工智能,反馈,23,3546,33,0.0352
CN,人工智能,劳动,23,3546,37,0.0148
CN,人工智能,武器,23,3546,75,-0.1115
CN,人工智能,来源,23,3546,119,-0.1939
CN,人工智能,国务院,22,3546,30,0.044
CN,人工智能,作恶,22,3546,30,0.044
CN,人工智能,劳动就业,22,3546,30,0.044
CN,人工智能,重要性,22,3546,30,0.044
CN,人工智能,预防,22,3546,30,0.044
CN,人工智能,cn,22,3546,33,0.0271
CN,人工智能,个别,22,3546,45,-0.0279
CN,人工智能,尊重,22,3546,53,-0.0569
CN,人工智能,限制,22,3546,71,-0.1087
CN,人工智能,视频,22,3546,72,-0.1112
CN,人工智能,规则,22,3546,105,-0.1781
CN,人工智能,教学,21,3546,25,0.0675
CN,人工智能,品质,21,3546,30,0.0354
CN,人工智能,情感,21,3546,30,0.0354
CN,人工智能,围绕,21,3546,30,0.0354
CN,人工智能,未经,21,3546,30,0.0354
CN,人工智能,突出,21,3546,30,0.0354
CN,人工智能,和平,21,3546,30,0.0354
CN,人工智能,社会制度,21,3546,30,0.0354
CN,人工智能,智能科学,21,3546,30,0.0354
CN,人工智能,应用程序,21,3546,38,-0.0061
CN,人工智能,难以,21,3546,39,-0.0107
CN,人工智能,不当,21,3546,52,-0.0613
CN,人工智能,记录,21,3546,52,-0.0613
CN,人工智能,主动,21,3546,60,-0.0864
CN,人工智能,获取,21,3546,60,-0.0864
CN,人工智能,设施,21,3546,60,-0.0864
CN,人工智能,隐式,21,3546,152,-0.2499
CN,人工智能,单位,20,3546,20,0.0973
CN,人工智能,社会主义,20,3546,30,0.0266
CN,人工智能,地区,20,3546,30,0.0266
CN,人工智能,供需平衡,20,3546,30,0.0266
CN,人工智能,资本,20,3546,33,0.01
CN,人工智能,关键环节,20,3546,45,-0.0441
CN,人工智能,有害信息,20,3546,59,-0.0913
CN,人工智能,依法,20,3546,60,-0.0942
CN,人工智能,虚假,20,3546,60,-0.0942
CN,人工智能,样本,20,3546,60,-0.0942
CN,人工智能,管控,20,3546,72,-0.126
CN,人工智能,涌现,19,3546,30,0.0175
CN,人工智能,社会科学,19,3546,30,0.0175
CN,人工智能,更加,19,3546,30,0.0175
CN,人工智能,教师,19,3546,30,0.0175
CN,人工智能,交流,19,3546,30,0.0175
CN,人工智能,标准化,19,3546,30,0.0175
CN,人工智能,领军,19,3546,30,0.0175
CN,人工智能,主权,19,3546,30,0.0175
CN,人工智能,差异化,19,3546,30,0.0175
CN,人工智能,document,19,3546,32,0.0064
CN,人工智能,认证,19,3546,48,-0.0637
CN,人工智能,维度,19,3546,60,-0.1022
CN,人工智能,知识产权,19,3546,69,-0.1264
CN,人工智能,属性,19,3546,106,-0.2006
CN,人工智能,标注,19,3546,132,-0.2385
CN,人工智能,哲学,18,3546,30,0.0081
CN,人工智能,传授,18,3546,30,0.0081
CN,人工智能,相衔接,18,3546,30,0.0081
CN,人工智能,监督机制,18,3546,30,0.0081
CN,人工智能,诱导,18,3546,45,-0.0613
CN,人工智能,溯源,18,3546,45,-0.0613
CN,人工智能,容错,18,3546,60,-0.1105
CN,人工智能,完整,17,3546,30,-0.0017
CN,人工智能,转变,17,3546,30,-0.0017
CN,人工智能,研判,17,3546,30,-0.0017
CN,人工智能,各种,17,3546,30,-0.0017
CN,人工智能,语料,17,3546,30,-0.0017
CN,人工智能,定制,17,3546,30,-0.0017
CN,人工智能,安全控制,17,3546,30,-0.0017
CN,人工智能,专业,17,3546,45,-0.0704
CN,人工智能,实际,17,3546,45,-0.0704
CN,人工智能,边界,17,3546,45,-0.0704
CN,人工智能,公开,17,3546,45,-0.0704
CN,人工智能,误导,17,3546,60,-0.1192
CN,人工智能,制作,17,3546,60,-0.1192
CN,人工智能,指南,17,3546,60,-0.1192
CN,人工智能,对抗,17,3546,71,-0.1477
CN,人工智能,配置,17,3546,72,-0.1501
CN,人工智能,实时,16,3546,30,-0.0118
CN,人工智能,智慧,16,3546,30,-0.0118
CN,人工智能,基础理论,16,3546,30,-0.0118
CN,人工智能,更新,16,3546,30,-0.0118
CN,人工智能,阈值,16,3546,30,-0.0118
CN,人工智能,偏离,16,3546,30,-0.0118
CN,人工智能,结构,16,3546,39,-0.0558
CN,人工智能,予以,16,3546,45,-0.0798
CN,人工智能,护栏,16,3546,45,-0.0798
CN,人工智能,流程,16,3546,75,-0.1656
CN,人工智能,各部委,15,3546,15,0.0927
CN,人工智能,直属机构,15,3546,15,0.0927
CN,人工智能,批新,15,3546,15,0.0927
CN,人工智能,新质,15,3546,15,0.0927
CN,人工智能,全体,15,3546,15,0.0927
CN,人工智能,中国式,15,3546,15,0.0927
CN,人工智能,率先,15,3546,15,0.0927
CN,人工智能,70%,15,3546,15,0.0927
CN,人工智能,快速增长,15,3546,15,0.0927
CN,人工智能,明显增强,15,3546,15,0.0927
CN,人工智能,不断完善,15,3546,15,0.0927
CN,人工智能,90%,15,3546,15,0.0927
CN,人工智能,增长极,15,3546,15,0.0927
CN,人工智能,阶段,15,3546,15,0.0927
CN,人工智能,科学技术,15,3546,15,0.0927
CN,人工智能,牵引带,15,3546,15,0.0927
CN,人工智能,动作,15,3546,15,0.0927
CN,人工智能,学科,15,3546,15,0.0927
CN,人工智能,视野,15,3546,15,0.0927
CN,人工智能,观察,15,3546,15,0.0927
CN,人工智能,视域,15,3546,15,0.0927
CN,人工智能,机理,15,3546,15,0.0927
CN,人工智能,理论体系,15,3546,15,0.0927
CN,人工智能,励有,15,3546,15,0.0927
CN,人工智能,底层,15,3546,15,0.0927
CN,人工智能,全新,15,3546,15,0.0927
CN,人工智能,商业模式,15,3546,15,0.0927
CN,人工智能,全员,15,3546,15,0.0927
CN,人工智能,素养,15,3546,15,0.0927
CN,人工智能,更多,15,3546,15,0.0927
CN,人工智能,可复,15,3546,15,0.0927
CN,人工智能,专家,15,3546,15,0.0927
CN,人工智能,数智化,15,3546,15,0.0927
CN,人工智能,育种,15,3546,15,0.0927
CN,人工智能,种植,15,3546,15,0.0927
CN,人工智能,养殖,15,3546,15,0.0927
CN,人工智能,农业机器,15,3546,15,0.0927
CN,人工智能,产和加,15,3546,15,0.0927
CN,人工智能,作业,15,3546,15,0.0927
CN,人工智能,农具,15,3546,15,0.0927
CN,人工智能,体等,15,3546,15,0.0927
CN,人工智能,提质,15,3546,15,0.0927
CN,人工智能,提效型,15,3546,15,0.0927
